ref/sorb	H2O	LiCl
t[K]	mass ratio	p[kPa]	equation form	reference
343	30	0.424175	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
343	31	0.400655	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
343	32	0.377394	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
343	33	0.354553	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
343	34	0.332278	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
343	35	0.310701	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
343	36	0.28993	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
343	37	0.270053	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
343	38	0.251134	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
343	39	0.233215	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
343	40	0.21632	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
343	41	0.200452	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
343	42	0.185601	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
